temp,humidity,windspeed,count,year,month,day,hr,season_Fall,season_Spring,season_Summer,season_Winter,is_holiday_No,is_holiday_Yes,is_workingday_No,is_workingday_Yes,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Heavy Rain,weather_condition_Light Rain
9.84,81.0,0.0,16,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
9.02,80.0,0.0,40,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0
9.02,80.0,0.0,32,0,1,1,2,0,1,0,0,1,0,1,0,1,0,0,0
9.84,75.0,0.0,13,0,1,1,3,0,1,0,0,1,0,1,0,1,0,0,0
9.84,75.0,0.0,1,0,1,1,4,0,1,0,0,1,0,1,0,1,0,0,0
9.84,75.0,6.0032,1,0,1,1,5,0,1,0,0,1,0,1,0,0,1,0,0
9.02,80.0,0.0,2,0,1,1,6,0,1,0,0,1,0,1,0,1,0,0,0
8.200000000000001,86.0,0.0,3,0,1,1,7,0,1,0,0,1,0,1,0,1,0,0,0
9.84,75.0,0.0,8,0,1,1,8,0,1,0,0,1,0,1,0,1,0,0,0
13.12,76.0,0.0,14,0,1,1,9,0,1,0,0,1,0,1,0,1,0,0,0
15.58,76.0,16.997899999999998,36,0,1,1,10,0,1,0,0,1,0,1,0,1,0,0,0
14.76,81.0,19.0012,56,0,1,1,11,0,1,0,0,1,0,1,0,1,0,0,0
17.22,77.0,19.0012,84,0,1,1,12,0,1,0,0,1,0,1,0,1,0,0,0
18.86,72.0,19.9995,94,0,1,1,13,0,1,0,0,1,0,1,0,0,1,0,0
18.86,72.0,19.0012,106,0,1,1,14,0,1,0,0,1,0,1,0,0,1,0,0
18.04,77.0,19.9995,110,0,1,1,15,0,1,0,0,1,0,1,0,0,1,0,0
17.22,82.0,19.9995,93,0,1,1,16,0,1,0,0,1,0,1,0,0,1,0,0
18.04,82.0,19.0012,67,0,1,1,17,0,1,0,0,1,0,1,0,0,1,0,0
17.22,88.0,16.997899999999998,35,0,1,1,18,0,1,0,0,1,0,1,0,0,0,0,1
17.22,88.0,16.997899999999998,37,0,1,1,19,0,1,0,0,1,0,1,0,0,0,0,1
16.400000000000002,87.0,16.997899999999998,36,0,1,1,20,0,1,0,0,1,0,1,0,0,1,0,0
16.400000000000002,87.0,12.998,34,0,1,1,21,0,1,0,0,1,0,1,0,0,1,0,0
16.400000000000002,94.0,15.0013,28,0,1,1,22,0,1,0,0,1,0,1,0,0,1,0,0
18.86,88.0,19.9995,39,0,1,1,23,0,1,0,0,1,0,1,0,0,1,0,0
18.86,88.0,19.9995,17,0,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0
18.04,94.0,16.997899999999998,17,0,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0
17.22,100.0,19.0012,9,0,1,2,2,0,1,0,0,1,0,1,0,0,1,0,0
18.86,94.0,12.998,6,0,1,2,3,0,1,0,0,1,0,1,0,0,1,0,0
18.86,94.0,12.998,3,0,1,2,4,0,1,0,0,1,0,1,0,0,1,0,0
17.22,77.0,19.9995,2,0,1,2,6,0,1,0,0,1,0,1,0,0,0,0,1
16.400000000000002,76.0,12.998,1,0,1,2,7,0,1,0,0,1,0,1,0,0,1,0,0
16.400000000000002,71.0,15.0013,8,0,1,2,8,0,1,0,0,1,0,1,0,0,0,0,1
15.58,76.0,15.0013,20,0,1,2,9,0,1,0,0,1,0,1,0,0,1,0,0
14.76,81.0,15.0013,53,0,1,2,10,0,1,0,0,1,0,1,0,0,1,0,0
14.76,71.0,16.997899999999998,70,0,1,2,11,0,1,0,0,1,0,1,0,0,1,0,0
14.76,66.0,19.9995,93,0,1,2,12,0,1,0,0,1,0,1,0,0,1,0,0
14.76,66.0,8.9981,75,0,1,2,13,0,1,0,0,1,0,1,0,0,1,0,0
14.76,76.0,12.998,59,0,1,2,14,0,1,0,0,1,0,1,0,0,0,0,1
13.94,81.0,11.0014,74,0,1,2,15,0,1,0,0,1,0,1,0,0,0,0,1
13.94,71.0,11.0014,76,0,1,2,16,0,1,0,0,1,0,1,0,0,0,0,1
13.94,56.99999999999999,12.998,65,0,1,2,17,0,1,0,0,1,0,1,0,1,0,0,0
14.76,46.0,22.0028,53,0,1,2,18,0,1,0,0,1,0,1,0,0,1,0,0
13.12,42.0,30.0026,30,0,1,2,19,0,1,0,0,1,0,1,0,1,0,0,0
12.3,39.0,23.9994,22,0,1,2,20,0,1,0,0,1,0,1,0,1,0,0,0
10.66,44.0,22.0028,31,0,1,2,21,0,1,0,0,1,0,1,0,1,0,0,0
9.84,44.0,19.9995,9,0,1,2,22,0,1,0,0,1,0,1,0,1,0,0,0
9.02,47.0,11.0014,8,0,1,2,23,0,1,0,0,1,0,1,0,1,0,0,0
9.02,44.0,23.9994,5,0,1,3,0,0,1,0,0,1,0,0,1,1,0,0,0
8.200000000000001,44.0,27.9993,2,0,1,3,1,0,1,0,0,1,0,0,1,1,0,0,0
6.5600000000000005,47.0,26.0027,1,0,1,3,4,0,1,0,0,1,0,0,1,1,0,0,0
6.5600000000000005,47.0,19.0012,3,0,1,3,5,0,1,0,0,1,0,0,1,1,0,0,0
5.74,50.0,26.0027,30,0,1,3,6,0,1,0,0,1,0,0,1,1,0,0,0
5.74,50.0,12.998,64,0,1,3,7,0,1,0,0,1,0,0,1,1,0,0,0
5.74,50.0,19.0012,154,0,1,3,8,0,1,0,0,1,0,0,1,1,0,0,0
6.5600000000000005,43.0,26.0027,88,0,1,3,9,0,1,0,0,1,0,0,1,1,0,0,0
7.38,43.0,16.997899999999998,44,0,1,3,10,0,1,0,0,1,0,0,1,1,0,0,0
